Ag,Au,Zn,fe_h2
0.0,0.2,0.8,76.708656803867
0.0,0.25,0.75,78.36573269999371
0.0,0.294,0.706,66.05411287116281
0.0,0.333,0.667,86.04657975684782
0.0,0.375,0.625,79.84452489066523
0.0,0.4,0.6,81.66837556759924
0.0,0.429,0.571,81.66837556759924
0.0,0.5,0.5,85.30310322459144
0.0,0.556,0.444,70.36054322124338
0.0,0.6,0.4,93.71529012952772
0.0,0.625,0.375,82.2793948398167
0.0,0.667,0.333,76.83797526627467
0.0,0.7,0.3,80.51246102659607
0.0,0.75,0.25,80.26282198832368
0.0,0.75,0.25,79.20609345246815
0.0,0.75,0.25,76.60298395028146
0.0,0.8,0.2,79.92885392035824
0.0,0.833,0.167,79.58442319362196
0.0,1.0,0.0,73.16620979723368
0.111,0.0,0.889,26.326979011906506
0.167,0.0,0.833,60.4348280985164
0.2,0.0,0.8,73.89754964531588
0.222,0.0,0.778,49.36533511896043
0.25,0.0,0.75,70.92887484567578
0.25,0.0,0.75,63.66632488648016
0.375,0.0,0.625,67.35252882462491
0.4,0.0,0.6,42.60917784427379
0.429,0.0,0.571,26.54313754211221
0.462,0.0,0.538,39.926342882253245
0.5,0.0,0.5,44.18883006549625
0.6,0.0,0.4,32.12936031304275
0.667,0.0,0.333,57.48393981878675
0.833,0.0,0.167,40.91234384481784
0.0,0.0,1.0,74.99257151227269
1.0,0.0,0.0,61.90336688359246
0.067,0.533,0.4,77.46008495678923
0.125,0.125,0.75,59.86461319550524
0.125,0.125,0.75,63.17583544330285
0.125,0.125,0.75,67.99828412396158
0.2,0.4,0.4,70.8202724476344
0.25,0.25,0.5,68.15354998012096
0.25,0.25,0.5,69.09937433300551
0.25,0.25,0.5,70.5645650672749
0.25,0.5,0.25,74.50019879051665
0.25,0.5,0.25,74.5378643620917
0.25,0.5,0.25,71.36223817196426
0.25,0.625,0.125,79.13473811965096
0.286,0.571,0.143,73.12163887086986
0.333,0.333,0.333,75.0555567180732
0.4,0.1,0.5,66.08738412605412
0.4,0.2,0.4,69.64761765259789
0.417,0.083,0.5,58.20209671681768
0.417,0.167,0.417,70.55200987674988
0.429,0.286,0.286,73.86658017535416
0.5,0.083,0.417,55.62346983615477
0.5,0.25,0.25,71.3614011592626
0.5,0.25,0.25,70.35803218313839
0.5,0.25,0.25,67.5425307079035
0.5,0.333,0.167,73.3248237041997
0.5,0.375,0.125,67.65615518215489
0.625,0.125,0.25,64.43072673627822
0.636,0.182,0.182,77.1757098913976
0.667,0.167,0.167,75.96497101843521
